ticker,fiscal_year,exploitable,raison_non_exploitable,date_annonce,date_ex,date_paiement,montant,yield_pct,source_montant,n_ex_div_doublons_ignores,prix_annonce,prix_veille_ex,prix_jour_ex,prix_paiement,variation_annonce_a_veille_ex_pct,chute_reelle_fcfa,chute_reelle_pct_du_dividende,variation_ex_a_paiement_pct,variation_totale_annonce_a_paiement_pct,volume_moyen_avant_annonce,volume_moyen_annonce_a_ex,volume_moyen_ex_a_paiement
BOAB,2024,True,,2025-04-02,2025-05-30,2025-06-03,585.0,15.88,DIVIDEND_HISTORY,1,4710.0,4600.0,4600.0,4300.0,-2.34,0.0,0.0,-6.52,-8.7,8293,8419.0,3806.0
BOAB,2025,True,,2026-04-30,2026-05-14,2026-05-15,585.0,6.22,DIVIDEND,1,8905.0,9420.0,9410.0,9410.0,5.78,10.0,1.7,0.0,5.67,6143.0,6459.0,2844
BOABF,2021,True,,2022-03-29,2022-04-29,2022-05-04,224.0,7.23,DIVIDEND_HISTORY,0,3050.0,2950.0,2950.0,2925.0,-3.28,0.0,0.0,-0.85,-4.1,298.0,1137.0,10309.0
BOABF,2022,True,,2023-03-30,2023-05-03,2023-05-05,352.0,13.54,DIVIDEND_HISTORY,0,2842.5,2900.0,2800.0,2800.0,2.02,100.0,28.4,0.0,-1.5,1063.0,919.0,733
BOABF,2023,True,,2024-03-28,2024-05-02,2024-05-06,428.0,12.26,DIVIDEND_HISTORY,0,3575.0,3250.0,3250.0,3297.5,-9.09,0.0,0.0,1.46,-7.76,1556.0,949.0,584
BOABF,2024,True,,2025-03-17,2025-04-17,2025-04-22,397.0,13.08,DIVIDEND_HISTORY,0,4310.0,4310.0,4020.0,3895.0,0.0,290.0,73.0,-3.11,-9.63,9921.0,9134.0,890
BOABF,2025,True,,2026-03-23,2026-04-22,2026-04-23,397.0,7.05,DIVIDEND,0,5415.0,5645.0,5630.0,5420.0,4.25,15.0,3.8,-3.73,0.09,9204.0,4775.0,12756.0
BOAC,2021,True,,2022-03-31,2022-04-26,2022-04-28,270.0,4.61,DIVIDEND_HISTORY,0,2697.5,2725.0,2687.5,2645.0,1.02,37.5,13.9,-1.58,-1.95,4379.0,1114,2042.0
BOAC,2022,True,,2023-03-29,2023-04-26,2023-04-28,342.0,9.24,DIVIDEND_HISTORY,0,2552.5,2547.5,2295.0,2500.0,-0.2,252.5,73.8,8.93,-2.06,5732.0,5616.0,7424
BOAC,2023,True,,2024-03-28,2024-04-25,2024-04-29,459.0,13.31,DIVIDEND_HISTORY,0,3635.0,3625.0,3497.5,3420.0,-0.28,127.5,27.8,-2.22,-5.91,2134.0,5053.0,3736
BOAC,2024,True,,2025-04-16,2025-05-16,2025-05-20,595.0,11.9,DIVIDEND_HISTORY,0,6000.0,6125.0,5990.0,5990.0,2.08,135.0,22.7,0.0,-0.17,5157.0,5800.0,5216.0
BOAC,2025,True,,2026-04-15,2026-05-05,2026-05-06,594.53,7.0,DIVIDEND,0,8500.0,9190.0,8850.0,8590.0,8.12,340.0,57.2,-2.94,1.06,27222.0,14901.0,17150.0
BOAM,2023,True,,2024-04-23,2024-05-16,2024-05-21,237.0,24.12,DIVIDEND_HISTORY,0,1076.67,1133.33,1050.0,1050.0,5.26,83.33,35.2,0.0,-2.48,831.0,2206.0,924
BOAM,2024,True,,2025-04-10,2025-05-30,2025-06-03,305.0,16.14,DIVIDEND_HISTORY,0,2500.0,2635.0,2635.0,2600.0,5.4,0.0,0.0,-1.33,4.0,9039.0,5690,10232
BOAM,2025,True,,2026-04-14,2026-06-02,2026-06-03,305.04,6.5,DIVIDEND,0,4580.0,5250.0,5000.0,4690.0,14.63,250.0,82.0,-6.2,2.4,5396.0,4745.0,1125
BOAN,2021,True,,2022-03-30,2022-05-10,2022-05-12,355.0,11.12,DIVIDEND_HISTORY,0,4121.88,4359.38,4300.0,4350.0,5.76,59.38,16.7,1.16,5.53,1338.0,1140.0,2279.0
BOAN,2022,True,,2023-03-30,2023-05-23,2023-05-25,381.0,10.53,DIVIDEND_HISTORY,0,3812.5,3781.25,3496.88,3496.88,-0.82,284.37,74.6,0.0,-8.28,1428.0,3343.0,1155
BOAN,2023,True,,2024-04-04,2024-05-29,2024-05-31,209.0,6.21,DIVIDEND_HISTORY,0,3750.0,3687.5,3434.38,3406.25,-1.67,253.12,121.1,-0.82,-9.17,2373,2850.0,1980.0
BOAN,2024,False,montant dividende introuvable (ni DIVIDEND ni DIVIDEND_HISTORY),2025-04-03,2025-05-30,2025-06-03,,,,0,,,,,,,,,,,,
BOAS,2021,True,,2022-04-15,2022-05-30,2022-06-01,125.0,7.98,DIVIDEND_HISTORY,0,1633.33,1533.33,1533.33,1646.67,-6.12,0.0,0.0,7.39,0.82,2564.0,2055.0,3066.0
BOAS,2022,True,,2023-03-31,2023-05-30,2023-06-01,200.0,12.24,DIVIDEND_HISTORY,0,1463.33,1670.0,1670.0,1716.67,14.12,0.0,0.0,2.79,17.31,2997.0,2707.0,358.0
BOAS,2023,True,,2024-04-18,2024-06-25,2024-06-27,350.0,16.41,DIVIDEND_HISTORY,0,2383.33,2733.33,2540.0,2566.67,14.69,193.33,55.2,1.05,7.69,3136.0,1967.0,918.0
BOAS,2024,True,,2025-04-08,2025-05-28,2025-06-02,450.0,14.29,DIVIDEND_HISTORY,0,4280.0,4200.0,4090.0,3990.0,-1.87,110.0,24.4,-2.44,-6.78,6147.0,12763.0,6632.0
BOAS,2025,True,,2026-04-30,2026-05-29,2026-06-01,450.0,6.63,DIVIDEND,0,7000.0,7745.0,7700.0,7600.0,10.64,45.0,10.0,-1.3,8.57,5046.0,7718.0,3986.0
BRVM30,,False,aucun événement dividende (AG/EX_DIVIDEND) trouvé pour ce ticker,,,,,,,,,,,,,,,,,,,
BRVMC,,False,aucun événement dividende (AG/EX_DIVIDEND) trouvé pour ce ticker,,,,,,,,,,,,,,,,,,,
CABC,2021,True,,2022-04-07,2022-07-29,2022-08-02,69.0,6.8,DIVIDEND_HISTORY,0,1100.0,1195.0,1150.0,1100.0,8.64,45.0,65.2,-4.35,0.0,1340.0,1004.0,213.0
