ticker,fiscal_year,exploitable,raison_non_exploitable,date_paiement,date_ex,montant,yield_pct,source_montant,n_jours_avec_prix,prix_debut_fenetre_j_moins_60,prix_veille_paiement_j_moins_1,prix_jour_paiement_j0,prix_fin_fenetre_j_plus_60,prix_moyen_avant,prix_moyen_apres,variation_totale_pct,variation_avant_pct,variation_apres_pct,volume_moyen_avant,volume_moyen_apres,ratio_volume_apres_sur_avant
SLBC,2024,True,,2025-07-29,2025-07-25,1872.0,14.45,DIVIDEND_HISTORY,81,16900.0,18500.0,19000.0,18450.0,17736.25,18466.75,9.17,9.47,-2.89,1305.0,368.0,0.28
SMBC,2021,True,,2022-08-24,2022-08-22,720.0,10.43,DIVIDEND_HISTORY,83,7260.0,6050.0,5930.0,6900.0,7088.25,6486.19,-4.96,-16.67,16.36,579.0,834.0,1.44
SMBC,2022,True,,2023-08-31,2023-08-29,1080.0,15.88,DIVIDEND_HISTORY,83,7800.0,9095.0,9100.0,9890.0,8884.15,9356.83,26.79,16.6,8.68,1905.0,1059.0,0.56
SMBC,2023,True,,2024-09-30,2024-09-26,616.0,5.85,DIVIDEND_HISTORY,82,12700.0,,13540.0,9515.0,13819.23,11662.5,-25.08,,-29.73,879.0,1605.0,1.83
SMBC,2024,True,,2025-09-15,2025-09-11,704.0,8.18,DIVIDEND_HISTORY,84,8800.0,,9200.0,9845.0,9483.72,9658.64,11.88,,7.01,575.0,798.0,1.39
SMBC,2025,False,seulement 2 jours avec prix sur la fenêtre ±60j,2026-09-15,2026-09-14,,,,,,,,,,,,,,,,
SNTS,2021,True,,2022-05-18,2022-05-16,1500.0,10.73,DIVIDEND_HISTORY,80,15500.0,15000.0,14725.0,14490.0,15834.1,14551.62,-6.52,-3.23,-1.6,7166.0,7330.0,1.02
SNTS,2022,True,,2023-05-17,2023-05-15,1575.0,10.36,DIVIDEND_HISTORY,78,15895.0,15000.0,15000.0,15675.0,15850.26,15222.69,-1.38,-5.63,4.5,2849.0,5066.0,1.78
SNTS,2023,False,seulement 0 jours avec prix sur la fenêtre ±60j,2024-05-17,2024-05-15,1655.0,9.2,DIVIDEND_HISTORY,,,,,,,,,,,,,
SNTS,2024,False,seulement 0 jours avec prix sur la fenêtre ±60j,2025-05-22,2025-05-20,1740.0,7.25,DIVIDEND_HISTORY,,,,,,,,,,,,,
SNTS,2025,True,,2026-05-25,2026-05-22,1740.0,6.11,DIVIDEND,114,28425.0,28500.0,28500.0,32000.0,28695.25,29178.96,12.58,0.26,12.28,8455.0,5507.0,0.65
SOGC,2021,True,,2022-07-21,2022-07-19,554.0,11.09,DIVIDEND_HISTORY,82,6600.0,6300.0,6270.0,5990.0,6517.93,5916.62,-9.24,-4.55,-4.47,1092.0,1057.0,0.97
SOGC,2022,True,,2023-07-17,2023-07-13,207.0,3.65,DIVIDEND_HISTORY,82,4700.0,,4245.0,3700.0,4825.64,3870.36,-21.28,,-12.84,4431.0,1926.0,0.43
SOGC,2023,True,,2024-08-06,2024-08-02,528.0,16.15,DIVIDEND_HISTORY,82,3395.0,3930.0,3900.0,3800.0,3737.44,3910.25,11.93,15.76,-2.56,1732.0,1620.0,0.94
SOGC,2024,True,,2025-07-15,2025-07-11,502.0,10.88,DIVIDEND_HISTORY,80,6850.0,7400.0,7175.0,7800.0,7599.49,7518.12,13.87,8.03,8.71,5322.0,7537.0,1.42
SOGC,2025,False,seulement 0 jours avec prix sur la fenêtre ±60j,2026-09-30,2026-09-29,,,,,,,,,,,,,,,,
SPHC,2021,True,,2022-08-04,2022-08-02,294.0,5.67,DIVIDEND_HISTORY,83,5800.0,6235.0,5995.0,5800.0,6184.76,5740.88,0.0,7.5,-3.25,2158.0,2599.0,1.2
SPHC,2022,True,,2023-09-29,2023-09-26,65.0,1.3,DIVIDEND_HISTORY,82,3200.0,2890.0,2700.0,2000.0,3143.54,2437.12,-37.5,-9.69,-25.93,2593.0,1537.0,0.59
SPHC,2023,True,,2024-08-12,2024-08-08,324.0,13.79,DIVIDEND_HISTORY,83,2505.0,,2995.0,4250.0,2853.75,3381.07,69.66,,41.9,1861,1590.0,0.85
SPHC,2024,True,,2025-07-17,2025-07-15,430.0,10.39,DIVIDEND_HISTORY,80,6150.0,6200.0,6200.0,6990.0,6544.38,6631.41,13.66,0.81,12.74,7754.0,3955.0,0.51
STAC,2021,True,,2022-07-18,2022-07-14,,,,83,1200.0,,1190.0,1159.0,1226.5,1101.55,-3.42,,-2.61,1391.0,3626.0,2.61
STBC,2021,True,,2022-07-21,2022-07-19,540.0,8.74,DIVIDEND_HISTORY,82,6000.0,6000.0,6000.0,5700.0,6123.41,5480.38,-5.0,0.0,-5.0,1387.0,3804.0,2.74
STBC,2022,True,,2023-07-27,2023-07-25,675.0,9.85,DIVIDEND_HISTORY,82,6445.0,6800.0,6800.0,6200.0,6475.0,6151.12,-3.8,5.51,-8.82,1332.0,913.0,0.69
STBC,2023,True,,2024-07-29,2024-07-25,2090.0,35.16,DIVIDEND_HISTORY,83,7000.0,,6780.0,7245.0,7090.0,6893.78,3.5,,6.86,3253.0,2069.0,0.64
STBC,2024,True,,2025-08-29,2025-08-27,1707.0,23.39,DIVIDEND_HISTORY,84,17950.0,19005.0,18900.0,19780.0,19576.79,19353.05,10.19,5.88,4.66,3605.0,1973.0,0.55
STBC,2025,True,,2026-08-28,2026-08-27,,,,20,24500.0,,,23900.0,24170.0,,-2.45,,,3077.0,,
TTLC,2021,True,,2022-08-25,2022-08-23,176.0,8.36,DIVIDEND_HISTORY,84,2215.0,2200.0,2200.0,2250.0,2258.29,2271.31,1.58,-0.68,2.27,1896.0,2586.0,1.36
TTLC,2022,True,,2023-09-21,2023-09-19,200.0,10.55,DIVIDEND_HISTORY,81,2230.0,2155.0,2155.0,1855.0,2199.88,2012.05,-16.82,-3.36,-13.92,16349.0,3366.0,0.21
