EXPLORATION FACTUELLE — FENÊTRE ±60J AUTOUR DU PAIEMENT DE DIVIDENDE
======================================================================
123/150 cycles exploitables sur 49 tickers

Variation totale (J-60 à J+60)  : médiane=+2.9%, moyenne=+6.2% (n=123)
Variation avant (J-60 à J-1)     : médiane=+2.5%, moyenne=+3.5% (n=92)
Variation après (J0 à J+60)      : médiane=+0.2%, moyenne=+2.8% (n=118)
Ratio volume après/avant          : médiane=0.97x, moyenne=1.24x (n=120)

Détail par cycle exploitable :
----------------------------------------------------------------------
NSBC     FY2024   paiement=2025-07-09 div=676.0F (DIVIDEND_HISTORY) | avant=+8.2% après=+3.6% total=+15.1% vol_ratio=0.69x
NTLC     FY2021   paiement=2022-08-02 div=728.0F (DIVIDEND_HISTORY) | avant=-1.6% après=+4.5% total=+1.4% vol_ratio=2.84x
NTLC     FY2022   paiement=2023-08-08 div=675.0F (DIVIDEND_HISTORY) | avant=N/A après=-8.2% total=+2.5% vol_ratio=0.63x
NTLC     FY2023   paiement=2024-08-20 div=722.0F (DIVIDEND_HISTORY) | avant=-4.2% après=-0.7% total=-4.9% vol_ratio=1.58x
NTLC     FY2024   paiement=2025-08-18 div=370.0F (DIVIDEND_HISTORY) | avant=N/A après=+9.8% total=+20.7% vol_ratio=0.77x
ONTBF    FY2021   paiement=2022-06-15 div=288.0F (DIVIDEND_HISTORY) | avant=-7.5% après=+1.3% total=-6.9% vol_ratio=0.53x
ONTBF    FY2022   paiement=2023-06-26 div=266.0F (DIVIDEND_HISTORY) | avant=N/A après=+6.6% total=+2.0% vol_ratio=0.83x
ONTBF    FY2023   paiement=2024-07-31 div=195.0F (DIVIDEND_HISTORY) | avant=+7.8% après=+15.9% total=+25.0% vol_ratio=0.92x
ONTBF    FY2024   paiement=2025-07-21 div=145.0F (DIVIDEND_HISTORY) | avant=N/A après=+2.3% total=+2.9% vol_ratio=0.70x
ONTBF    FY2025   paiement=2026-06-15 div=145.32F (DIVIDEND) | avant=+0.7% après=-5.0% total=-4.3% vol_ratio=1.61x
ORAC     FY2022   paiement=2023-06-15 div=780.0F (DIVIDEND_HISTORY) | avant=+4.4% après=+6.4% total=+9.4% vol_ratio=0.93x
ORAC     FY2023   paiement=2024-06-03 div=660.0F (DIVIDEND_HISTORY) | avant=N/A après=+16.5% total=+22.8% vol_ratio=0.98x
ORAC     FY2024   paiement=2025-06-11 div=704.0F (DIVIDEND_HISTORY) | avant=+7.8% après=-10.5% total=-3.5% vol_ratio=2.41x
ORAC     FY2025   paiement=2026-06-08 div=800.0F (DIVIDEND) | avant=+10.7% après=-0.7% total=+7.7% vol_ratio=2.10x
PALC     FY2021   paiement=2022-08-31 div=NoneF (None) | avant=-10.4% après=-1.9% total=-12.8% vol_ratio=1.57x
PALC     FY2022   paiement=2023-07-19 div=NoneF (None) | avant=-9.8% après=-13.3% total=-21.9% vol_ratio=0.60x
PALC     FY2023   paiement=2024-07-26 div=NoneF (None) | avant=-4.2% après=-18.6% total=-20.0% vol_ratio=1.45x
PALC     FY2024   paiement=2025-09-10 div=NoneF (None) | avant=+3.0% après=-6.3% total=-2.3% vol_ratio=1.82x
PALC     FY2025   paiement=2026-06-29 div=NoneF (None) | avant=+11.4% après=+0.2% total=+10.0% vol_ratio=1.99x
PRSC     FY2021   paiement=2022-08-30 div=224.0F (DIVIDEND_HISTORY) | avant=-2.7% après=-2.7% total=-4.0% vol_ratio=0.43x
PRSC     FY2022   paiement=2023-09-13 div=183.0F (DIVIDEND_HISTORY) | avant=+7.8% après=-38.3% total=-34.2% vol_ratio=0.64x
SDSC     FY2021   paiement=2022-06-23 div=NoneF (None) | avant=+20.4% après=-2.1% total=+17.9% vol_ratio=0.54x
SDSC     FY2022   paiement=2023-11-20 div=NoneF (None) | avant=N/A après=-2.4% total=-8.5% vol_ratio=0.30x
SDSC     FY2023   paiement=2024-12-12 div=NoneF (None) | avant=+3.1% après=+3.6% total=+10.3% vol_ratio=0.28x
SDSC     FY2024   paiement=2025-08-29 div=NoneF (None) | avant=+0.4% après=+1.3% total=+3.0% vol_ratio=1.64x
SHEC     FY2021   paiement=2022-10-28 div=53.0F (DIVIDEND_HISTORY) | avant=+1.8% après=-9.7% total=-7.1% vol_ratio=1.82x
SHEC     FY2022   paiement=2023-12-28 div=57.0F (DIVIDEND_HISTORY) | avant=-5.6% après=+4.7% total=-3.1% vol_ratio=0.88x
SIBC     FY2021   paiement=2022-06-30 div=NoneF (None) | avant=-4.6% après=+8.2% total=+2.8% vol_ratio=1.87x
SIBC     FY2022   paiement=2023-08-11 div=NoneF (None) | avant=+4.0% après=+2.0% total=+6.8% vol_ratio=0.99x
SIBC     FY2023   paiement=2024-07-31 div=NoneF (None) | avant=+6.0% après=+0.0% total=+10.9% vol_ratio=1.18x
SIBC     FY2024   paiement=2025-07-31 div=NoneF (None) | avant=+1.0% après=+14.7% total=+12.3% vol_ratio=0.53x
SIBC     FY2025   paiement=2026-07-31 div=NoneF (None) | avant=N/A après=N/A total=+3.4% vol_ratio=N/A
SLBC     FY2021   paiement=2022-08-12 div=NoneF (None) | avant=-6.9% après=-22.2% total=-27.6% vol_ratio=0.26x
SLBC     FY2023   paiement=2024-08-14 div=1074.0F (DIVIDEND_HISTORY) | avant=+0.0% après=+118.6% total=+118.6% vol_ratio=N/A
SLBC     FY2024   paiement=2025-07-29 div=1872.0F (DIVIDEND_HISTORY) | avant=+9.5% après=-2.9% total=+9.2% vol_ratio=0.28x
SMBC     FY2021   paiement=2022-08-24 div=720.0F (DIVIDEND_HISTORY) | avant=-16.7% après=+16.4% total=-5.0% vol_ratio=1.44x
SMBC     FY2022   paiement=2023-08-31 div=1080.0F (DIVIDEND_HISTORY) | avant=+16.6% après=+8.7% total=+26.8% vol_ratio=0.56x
SMBC     FY2023   paiement=2024-09-30 div=616.0F (DIVIDEND_HISTORY) | avant=N/A après=-29.7% total=-25.1% vol_ratio=1.83x
SMBC     FY2024   paiement=2025-09-15 div=704.0F (DIVIDEND_HISTORY) | avant=N/A après=+7.0% total=+11.9% vol_ratio=1.39x
SNTS     FY2021   paiement=2022-05-18 div=1500.0F (DIVIDEND_HISTORY) | avant=-3.2% après=-1.6% total=-6.5% vol_ratio=1.02x
SNTS     FY2022   paiement=2023-05-17 div=1575.0F (DIVIDEND_HISTORY) | avant=-5.6% après=+4.5% total=-1.4% vol_ratio=1.78x
SNTS     FY2025   paiement=2026-05-25 div=1740.0F (DIVIDEND) | avant=+0.3% après=+12.3% total=+12.6% vol_ratio=0.65x
SOGC     FY2021   paiement=2022-07-21 div=554.0F (DIVIDEND_HISTORY) | avant=-4.5% après=-4.5% total=-9.2% vol_ratio=0.97x
SOGC     FY2022   paiement=2023-07-17 div=207.0F (DIVIDEND_HISTORY) | avant=N/A après=-12.8% total=-21.3% vol_ratio=0.43x
SOGC     FY2023   paiement=2024-08-06 div=528.0F (DIVIDEND_HISTORY) | avant=+15.8% après=-2.6% total=+11.9% vol_ratio=0.94x
SOGC     FY2024   paiement=2025-07-15 div=502.0F (DIVIDEND_HISTORY) | avant=+8.0% après=+8.7% total=+13.9% vol_ratio=1.42x
SPHC     FY2021   paiement=2022-08-04 div=294.0F (DIVIDEND_HISTORY) | avant=+7.5% après=-3.2% total=+0.0% vol_ratio=1.20x
SPHC     FY2022   paiement=2023-09-29 div=65.0F (DIVIDEND_HISTORY) | avant=-9.7% après=-25.9% total=-37.5% vol_ratio=0.59x
SPHC     FY2023   paiement=2024-08-12 div=324.0F (DIVIDEND_HISTORY) | avant=N/A après=+41.9% total=+69.7% vol_ratio=0.85x
SPHC     FY2024   paiement=2025-07-17 div=430.0F (DIVIDEND_HISTORY) | avant=+0.8% après=+12.7% total=+13.7% vol_ratio=0.51x
STAC     FY2021   paiement=2022-07-18 div=NoneF (None) | avant=N/A après=-2.6% total=-3.4% vol_ratio=2.61x
STBC     FY2021   paiement=2022-07-21 div=540.0F (DIVIDEND_HISTORY) | avant=+0.0% après=-5.0% total=-5.0% vol_ratio=2.74x
STBC     FY2022   paiement=2023-07-27 div=675.0F (DIVIDEND_HISTORY) | avant=+5.5% après=-8.8% total=-3.8% vol_ratio=0.69x
STBC     FY2023   paiement=2024-07-29 div=2090.0F (DIVIDEND_HISTORY) | avant=N/A après=+6.9% total=+3.5% vol_ratio=0.64x
STBC     FY2024   paiement=2025-08-29 div=1707.0F (DIVIDEND_HISTORY) | avant=+5.9% après=+4.7% total=+10.2% vol_ratio=0.55x
STBC     FY2025   paiement=2026-08-28 div=NoneF (None) | avant=N/A après=N/A total=-2.5% vol_ratio=N/A
