ticker,fiscal_year,entree_offset,sortie_offset,date_entree,date_sortie,rendement_cycle,benchmark_cycle,alpha_cycle
BOAS,2025,5,-5,2026-05-05,2026-05-27,7.1972,5.6431,1.5541
CABC,2021,5,-5,2022-04-12,2022-07-28,3.0172,-0.3973,3.4146
CABC,2025,5,-5,2026-05-02,2026-05-27,2.7778,3.8773,-1.0995
CBIBF,2021,5,-5,2022-04-12,2022-07-01,-9.2308,0.708,-9.9388
CBIBF,2022,5,-5,2023-04-22,2023-07-01,4.0752,0.1778,3.8974
CBIBF,2023,5,-5,2024-04-17,2024-06-30,12.964,6.7058,6.2582
CBIBF,2024,5,-5,2025-05-04,2025-07-02,4.5876,11.7103,-7.1226
CBIBF,2025,5,-5,2026-04-21,2026-06-14,29.7619,11.7845,17.9774
CFAC,2021,5,-5,2022-06-26,2022-07-28,-0.5714,1.2995,-1.8709
CFAC,2022,5,-5,2023-07-02,2023-09-10,14.1975,2.6404,11.5571
CFAC,2023,5,-5,2024-07-02,2024-08-25,-3.6496,4.7856,-8.4353
CIEC,2021,5,-5,2022-06-25,2022-07-20,-0.2174,1.5441,-1.7615
CIEC,2022,5,-5,2023-06-25,2023-07-26,12.25,2.1113,10.1387
CIEC,2023,5,-5,2024-07-01,2024-07-25,4.01,1.9031,2.107
ECOC,2021,5,-5,2022-04-10,2022-04-24,-0.892,1.3027,-2.1946
ECOC,2022,5,-5,2023-05-01,2023-05-25,7.2611,-1.1275,8.3886
ECOC,2023,5,-5,2024-04-30,2024-05-25,10.2248,1.0472,9.1776
ECOC,2024,5,-5,2025-05-04,2025-05-25,21.8782,6.5865,15.2917
ECOC,2025,5,-5,2026-04-29,2026-05-17,0.0,1.2216,-1.2216
FTSC,2023,5,-5,2024-06-25,2024-09-25,13.3332,11.025,2.3083
NSBC,2022,5,-5,2023-05-24,2023-07-02,1.8447,1.6088,0.2358
NSBC,2023,5,-5,2024-05-28,2024-07-03,5.0,2.3363,2.6637
NSBC,2024,5,-5,2025-05-31,2025-07-04,17.9191,4.7376,13.1814
NTLC,2021,5,-5,2022-05-25,2022-07-28,8.3571,3.7859,4.5712
NTLC,2022,5,-5,2023-05-17,2023-08-03,24.7097,3.7393,20.9704
NTLC,2023,5,-5,2024-06-16,2024-08-15,0.0667,5.3908,-5.3241
NTLC,2024,5,-5,2025-06-17,2025-08-13,14.1818,8.3377,5.8441
ONTBF,2021,5,-5,2022-05-17,2022-06-10,-1.6667,1.132,-2.7986
ONTBF,2022,5,-5,2023-05-14,2023-06-21,-7.8509,0.1339,-7.9848
ONTBF,2023,5,-5,2024-06-29,2024-07-26,5.7792,1.6113,4.1678
ONTBF,2024,5,-5,2025-06-02,2025-07-16,2.0,5.3865,-3.3865
ONTBF,2025,5,-5,2026-05-04,2026-06-10,5.5456,9.2852,-3.7396
ORAC,2022,5,-5,2023-04-18,2023-06-10,9.9448,-2.792,12.7368
ORAC,2023,5,-5,2024-04-21,2024-05-29,9.6313,3.104,6.5273
ORAC,2024,5,-5,2025-04-15,2025-06-06,12.0966,10.5423,1.5542
ORAC,2025,5,-5,2026-05-23,2026-06-03,2.8939,1.3773,1.5166
PRSC,2021,5,-5,2022-07-05,2022-08-25,-3.2,-3.4904,0.2904
PRSC,2022,5,-5,2023-07-01,2023-09-08,8.0645,2.7737,5.2908
SHEC,2021,5,-5,2022-09-27,2022-10-23,-0.5747,-0.9435,0.3688
SHEC,2022,5,-5,2023-11-26,2023-12-23,-3.6145,0.8765,-4.491
SLBC,2023,5,-5,2024-06-05,2025-07-24,144.973,58.7253,86.2477
SLBC,2024,5,-5,2025-05-26,2025-07-24,22.6667,8.7032,13.9635
SMBC,2021,5,-5,2022-06-26,2022-08-19,-4.8951,-1.1543,-3.7408
SMBC,2023,5,-5,2024-06-19,2024-09-25,20.6612,11.5614,9.0997
SNTS,2021,5,-5,2022-05-03,2022-05-13,3.0417,-1.2443,4.286
SNTS,2022,5,-5,2023-04-23,2023-05-12,3.7421,-0.819,4.5611
SNTS,2025,5,-5,2026-04-21,2026-05-20,2.1127,3.9017,-1.789
SOGC,2021,5,-5,2022-06-20,2022-07-16,-1.5267,1.0553,-2.5821
SOGC,2022,5,-5,2023-06-18,2023-07-12,-9.9379,2.8453,-12.7832
SOGC,2023,5,-5,2024-05-29,2024-08-01,27.0701,5.3167,21.7534
SOGC,2024,5,-5,2025-05-25,2025-07-10,10.7246,3.8482,6.8765
SPHC,2021,5,-5,2022-06-18,2022-07-30,-1.6535,-0.0163,-1.6373
SPHC,2022,5,-5,2023-06-17,2023-09-24,-0.9449,4.4667,-5.4116
SPHC,2023,5,-5,2024-06-09,2024-08-07,23.8683,4.1499,19.7184
